original_name,qs_canonical_name,similarity_score
University California Santa Cruz,"University of California, Santa Cruz",93.33333333333333
University Of Cali Santa Cruz,"University of California, Santa Cruz",85.71428571428572
Cambridge,University of Cambridge,85.71428571428572
Cambridge University UK,University of Cambridge,83.33333333333334
"Cambridge University, Clare College",University of Cambridge,74.07407407407408
University Of Cape Town,University of Cape Town,100.0
University Of Central OK,University of Central Oklahoma,81.25
Univ Of Chicago,University of Chicago,100.0
University Of Chicago School,University of Chicago,100.0
University Of Chicago CIR,University of Chicago,83.33333333333334
University Of Chicago SSA,University of Chicago,83.33333333333334
University Of Chicago-GSB,University of Chicago,83.33333333333334
University Of Chicago(UChic),University of Chicago,80.0
UChicago,University of Chicago,77.77777777777779
University Of Chicago (MAPSS),University of Chicago,76.92307692307692
Harris School University Of Chicago,University of Chicago,74.07407407407408
"The University Of Chicago, Harris School",University of Chicago,74.07407407407408
University Of Chicago Harris School,University of Chicago,74.07407407407408
"University Of Chicago, Loyola",University of Chicago,74.07407407407408
University Of Cincinnati College,University of Cincinnati,100.0
University Of Cincinnati (UC),University of Cincinnati,89.65517241379311
University Of Cincinnati DAPP,University of Cincinnati,83.87096774193549
"University Of Cincinnati, Ohio",University of Cincinnati,83.87096774193549
UCincinnati,University of Cincinnati,83.33333333333334
Coimbra University,University of Coimbra,82.35294117647058
University Of Colombo,University of Colombo,100.0
"Univ Of Colorado, Boulder",University of Colorado Boulder,100.0
Boulder Colorado University,University of Colorado Boulder,91.42857142857143
Colorado University Boulder,University of Colorado Boulder,91.42857142857143
University Colorado Boulder,University of Colorado Boulder,91.42857142857143
University Of Colorado Boulder (CU Boulder),University of Colorado Boulder,77.55102040816327
"University Of Denver, Colorado","University of Colorado, Denver ",100.0
University Of ColoradoDenver,"University of Colorado, Denver ",97.14285714285714
University Of Colorado Denver (CU Denver),"University of Colorado, Denver ",78.26086956521739
Univeisity Of Colorado Denver,"University of Colorado, Denver ",76.59574468085107
University Of Colorado Denver - Anschutz,"University of Colorado, Denver ",76.59574468085107
Uni Of Connecticut,University of Connecticut,87.5
University Of Connecticut HSC,University of Connecticut,87.5
UConnecticut,University of Connecticut,84.61538461538461
Connecticut UConn,University of Connecticut,83.87096774193549
University Of Connecticut-Storr,University of Connecticut,82.35294117647058
Southern University Of Connecticut,University of Connecticut,75.67567567567568
University Of Southern Connecticut,University of Connecticut,75.67567567567568
University Of Copenhagen,University of Copenhagen,100.0
IT University Of Copenhagen,University of Copenhagen,89.65517241379311
The Univ. Of Delaware,University of Delaware,100.0
Univ Of Delaware,University of Delaware,100.0
University Of Delaware (UD),University of Delaware,88.0
Delaware,University of Delaware,84.21052631578947
University Delaware,University of Delaware,84.21052631578947
"University Of Delaware, Newark",University of Delaware,75.86206896551724
University Of Denber,University of Denver,88.88888888888889
University Of Denver (DU),University of Denver,85.71428571428572
University Of Denvernver,University of Denver,81.81818181818181
University Of Denver (GSIS),University of Denver,78.26086956521739
University Of Denver GSPP,University of Denver,78.26086956521739
"University Of Denver, PsyD",University of Denver,78.26086956521739
University Of Denver/Iliff,University of Denver,78.26086956521739
University Of Dhaka,University of Dhaka,100.0
University Of East Anglia,University of East Anglia (UEA),87.5
"University Of East Anglia, Norwich, UK",University of East Anglia (UEA),74.4186046511628
Univ Of Florida,University of Florida,100.0
University Of Florida UFL,University of Florida,83.33333333333334
Florida University,University of Florida,82.35294117647058
University Florida,University of Florida,82.35294117647058
University Of West Florida,University of Florida,80.0
University Of Miami Florida,University of Florida,76.92307692307692
University Of North Florida,University of Florida,76.92307692307692
University Of Flo,University of Florida,75.0
University Of Geneva,University of Geneva,100.0
The University Of Glasgow,University of Glasgow,100.0
University Of Glasgow,University of Glasgow,100.0
Groningen University,University of Groningen,85.71428571428572
University Of Guelpg,University of Guelph,88.88888888888889
Guelph University,University of Guelph,80.0
